온더보더 지점마다 메뉴 구성이 다른가요?,6,"['온더보더', '지점', '메뉴', '구성', '다르']","['OG', 'O', 'O', 'LC', 'O']",매장정보
온더보더 지점별로 차이가 궁금합니다.,6,"['온더보더', '지점', '차이', '궁금']","['OG', 'O', 'PS', 'O']",매장정보
디지털 금액권의 잔액 유효기간은 어떻게 되나요?,6,"['디지털', '금액', '잔액', '유효', '기간', '어떻', '되']","['O', 'TM', 'O', 'TM', 'O', 'O', 'O']",기타
디지털 금액권 사용시 원하는 금액만큼 사용할 수 있나요?,6,"['디지털', '금액', '사용', '원하', '금액', '사용', '수', '있']","['O', 'TM', 'O', 'O', 'TM', 'O', 'DT', 'O']",기타
미리 전화로 주문을 할 수가 있나요?,6,"['미리', '전화', '주문', '하', '수', '있']","['PS', 'TM', 'O', 'PS', 'DT', 'O']",주문
미리 전화로 몇시간 전에 주문해야하나요?,6,"['미리', '전화', '몇', '시간', '전', '주문', '하']","['PS', 'TM', 'O', 'AF', 'PS', 'O', 'PS']",주문
디지털 금액권의 잔액은 어떻게 확인할 수 있나요?,6,"['디지털', '금액', '잔액', '어떻', '확인', '수', '있']","['O', 'TM', 'O', 'O', 'O', 'DT', 'O']",기타
런치세트 메뉴는 주말에도 먹을 수 있나요?,6,"['런', '치', '세트', '메뉴', '주말', '먹', '수', '있']","['PS', 'PS', 'B_FOOD', 'O', 'DT', 'O', 'DT', 'O']",메뉴추천
런치 세트는 주말에도 시킬 수 있나요?,6,"['런', '세트', '주말', '시키', '수', '있']","['PS', 'B_FOOD', 'DT', 'PS', 'DT', 'O']",주문
런치세트 메뉴는 주말에도 제공이 되나요?,6,"['런', '치', '세트', '메뉴', '주말', '제공', '되']","['PS', 'PS', 'B_FOOD', 'O', 'DT', 'O', 'O']",메뉴추천
런치 세트는 몇시까지 주문할 수 있나요?,6,"['런', '세트', '몇', '시', '주문', '수', '있']","['PS', 'B_FOOD', 'O', 'CV', 'O', 'DT', 'O']",주문
런치세트 메뉴는 같은 가격대의 다른 메뉴로 교환이 가능한가요?,6,"['런', '치', '세트', '메뉴', '같', '가격', '다른', '메뉴', '교환', '가능']","['PS', 'PS', 'B_FOOD', 'O', 'O', 'O', 'O', 'O', 'O', 'LC']",메뉴추천
런치 세트 메뉴는 같은 가격대의 다른 메뉴로 바꿀 수 있나요?,6,"['런', '세트', '메뉴', '같', '가격', '다른', '메뉴', '바꾸', '수', '있']","['PS', 'B_FOOD', 'O', 'O', 'O', 'O', 'O', 'O', 'DT', 'O']",메뉴추천
런치 세트의 수프를 샐러드로 바꿀 수 잇나요?,6,"['런', '세트', '수프', '샐러드', '바꾸', '수', '잇']","['PS', 'B_FOOD', 'PS', 'B_FOOD', 'O', 'DT', 'PS']",주문
매장에 방문하기 전 문의사항이 있습니다,6,"['매장', '방문', '전', '문의', '사항', '있']","['O', 'O', 'PS', 'PS', 'QT', 'O']",예약
식당 내부의 분위기나 인테리어에 대해 설명해주세요.,6,"['식당', '내부', '분위기', '인테리어', '대하', '설명', '주']","['O', 'TM', 'O', 'FD', 'B_FOOD', 'O', 'PS']",매장정보
식당에서는 어떤 결제 방법을 지원하나요?,6,"['식당', '어떤', '결제', '방법', '지원']","['O', 'O', 'O', 'O', 'PS']",메뉴추천
"식당에서는 어떤 서비스를 제공하나요? 예를 들면 와인 서비스, 무료 Wi-Fi 등.",6,"['식당', '어떤', '서비스', '제공', '예', '들', '와인', '서비스', '무료', 'Wi', 'Fi', '등']","['O', 'O', 'O', 'O', 'PS', 'QT', 'B_FOOD', 'O', 'O', 'O', 'O', 'AM']",메뉴추천
식당에서는 특별한 식사 요구사항이나 알러지 유발 물질에 대한 대응이 가능한가요?,6,"['식당', '특별', '식사', '요구사항', '알', '유발', '물질', '대하', '대응', '가능']","['O', 'O', 'B_FOOD', 'O', 'AM', 'O', 'O', 'B_FOOD', 'O', 'LC']",매장정보
식당에 대한 후기나 평점을 알고 싶습니다.,6,"['식당', '대하', '후기', '평점', '알', '싶']","['O', 'B_FOOD', 'DT', 'O', 'AM', 'PS']",매장정보
식당에서는 단체 예약이 가능한가요? 가능하다면 어떤 절차를 따라야 하나요?,6,"['식당', '단체', '예약', '가능', '가능', '어떤', '절차', '따르', '하']","['O', 'O', 'O', 'LC', 'LC', 'O', 'O', 'O', 'PS']",메뉴추천
식당 근처에 주변 관광지나 명소가 있을까요?,6,"['식당', '근처', '주변', '관광지', '명소', '있']","['O', 'O', 'O', 'O', 'O', 'O']",매장정보
식당의 주변 환경이 시끄럽거나 조용한 편인가요?,6,"['식당', '주변', '환경', '시끄럽', '조용', '편', '이']","['O', 'O', 'O', 'O', 'O', 'PS', 'PS']",매장정보
식당에서는 특별한 경험을 제공하는 시그니처 메뉴가 있을까요?,6,"['식당', '특별', '경험', '제공', '시', '그니', '처', '메뉴', '있']","['O', 'O', 'O', 'O', 'CV', 'PS', 'CV', 'O', 'O']",매장정보
식당의 인기 있는 시간대는 언제인지 알려주세요.,6,"['식당', '인기', '있', '시간대', '언제', '이', '알리', '주']","['O', 'O', 'O', 'O', 'O', 'PS', 'PS', 'PS']",메뉴추천
식당 내부에는 흡연 구역과 금연 구역이 구분되어 있나요?,6,"['식당', '내부', '흡연', '구역', '금연', '구역', '구분', '있']","['O', 'TM', 'O', 'TM', 'O', 'TM', 'TI', 'O']",매장정보
식당에서는 알러지 유발 물질에 대한 정보를 제공하나요?,6,"['식당', '알', '유발', '물질', '대하', '정보', '제공']","['O', 'AM', 'O', 'O', 'B_FOOD', 'O', 'O']",매장정보
"예약을 해야 하는지, 예약 방법은 어떻게 되는지 알려주세요",6,"['예약', '하', '하', '예약', '방법', '어떻', '되', '알리', '주']","['O', 'PS', 'PS', 'O', 'O', 'O', 'O', 'PS', 'PS']",예약
식당의 평균 가격대가 어떻게 되는지 알려주세요,6,"['식당', '평균', '가격', '대가', '어떻', '되', '알리', '주']","['O', 'O', 'O', 'PS', 'O', 'O', 'PS', 'PS']",매장정보
예약 없이 방문했을 때 대기 시간은 어느 정도인지 알려주세요,6,"['예약', '없이', '방문', '때', '대기', '시간', '어느', '정도', '이', '알리', '주']","['O', 'O', 'O', 'O', 'PS', 'AF', 'PS', 'PS', 'PS', 'PS', 'PS']",예약
어떤 결제 수단을 지원하는지 알려주세요,6,"['어떤', '결제', '수단', '지원', '알리', '주']","['O', 'O', 'LC', 'PS', 'PS', 'PS']",메뉴추천
어린이나 유아를 동반한 가족들을 위한 시설이나 서비스가 제공되는지 알려주세요.,6,"['어린이', '유아', '동반', '가족', '위하', '시설', '서비스', '제공', '알리', '주']","['O', 'PS', 'O', 'CV', 'O', 'O', 'O', 'O', 'PS', 'PS']",메뉴추천
주문한 음식이 매우 매워서 다른 음식으로 교체할 수 있을까요?,6,"['주문', '음식', '매우', '매워서', '다른', '음식', '교체', '수', '있']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'DT', 'O']",주문
식당에서 사용하는 재료는 신선한 것을 사용하나요?,6,"['식당', '사용', '재료', '신선', '것', '사용']","['O', 'O', 'O', 'PS', 'O', 'O']",매장정보
주문한 음식의 양이 많아서 나눠서 식사할 수 있을까요?,6,"['주문', '음식', '양이', '많', '나누', '식사', '수', '있']","['O', 'O', 'PS', 'O', 'O', 'B_FOOD', 'DT', 'O']",주문
식당에서 판매하는 샐사의 매운 정도를 선택할 수 있나요?,6,"['식당', '판매', '새', '맵', '정도', '선택', '수', '있']","['O', 'O', 'AM', 'O', 'PS', 'O', 'DT', 'O']",주문
멕시칸 음식 외에도 베지테리언 또는 비건 옵션이 있을까요?,6,"['멕시칸', '음식', '외', '베', '지', '테리', '언', '또는', '비', '옵션', '있']","['OG', 'O', 'OG', 'PS', 'PS', 'PS', 'PS', 'O', 'PS', 'O', 'O']",기타
온더보더 식당에서는 면도 판매하나요?,6,"['온더보더', '식당', '면도', '판매']","['OG', 'O', 'O', 'O']",매장정보
온더보더 식당에서 제공하는 음식에는 어떤 향신료가 사용되나요?,6,"['온더보더', '식당', '제공', '음식', '어떤', '향신료', '사용']","['OG', 'O', 'O', 'O', 'O', 'B_FOOD', 'O']",메뉴추천
식당 내부에 바 또는 칵테일 바가 있는가요? 다양한 종류의 칵테일을 제공하나요?,6,"['식당', '내부', '바', '또는', '칵테일', '바가', '있', '다양', '종류', '칵테일', '제공']","['O', 'TM', 'OG', 'O', 'B_FOOD', 'O', 'O', 'O', 'O', 'B_FOOD', 'O']",매장정보
베지테리언 옵션이나 그 외의 다국적 메뉴가 있는지요?,6,"['베', '지', '테리', '언', '옵션', '그', '외', '다국적', '메뉴', '있']","['PS', 'PS', 'PS', 'PS', 'O', 'O', 'OG', 'O', 'O', 'O']",기타
야외 좌석이 있는가요? 날씨가 좋을 때 야외에서 식사를 할 수 있을까요?,6,"['야외', '좌석', '있', '날씨', '좋', '때', '야외', '식사', '하', '수', '있']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_FOOD', 'PS', 'DT', 'O']",기타
생일 축하 이벤트나 기념일 서비스 같은 것이 있을까요?,6,"['생일', '축하', '이벤트', '기념일', '서비스', '같', '것', '있']","['AF', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",이벤트정보
멕시칸 음식 외에 다른 종류의 음식도 판매하나요,6,"['멕시칸', '음식', '외', '다른', '종류', '음식', '판매']","['OG', 'O', 'OG', 'O', 'O', 'O', 'O']",기타
음식에 매운 맛을 선택할 수 있나요,6,"['음식', '맵', '맛', '선택', '수', '있']","['O', 'O', 'O', 'O', 'DT', 'O']",주문
"예약을 해야 하는지, 예약 방법은 어떻게 되는지 알려줘",6,"['예약', '하', '하', '예약', '방법', '어떻', '되', '알리', '주']","['O', 'PS', 'PS', 'O', 'O', 'O', 'O', 'PS', 'PS']",예약
식당의 평균 가격대가 어떻게 되는지 알려줘,6,"['식당', '평균', '가격', '대가', '어떻', '되', '알리', '주']","['O', 'O', 'O', 'PS', 'O', 'O', 'PS', 'PS']",매장정보
예약 없이 방문했을 때 대기 시간은 어느 정도인지 알려줘,6,"['예약', '없이', '방문', '때', '대기', '시간', '어느', '정도', '이', '알리', '주']","['O', 'O', 'O', 'O', 'PS', 'AF', 'PS', 'PS', 'PS', 'PS', 'PS']",예약
어떤 결제 수단을 지원하는지 알려줘,6,"['어떤', '결제', '수단', '지원', '알리', '주']","['O', 'O', 'LC', 'PS', 'PS', 'PS']",메뉴추천
어린이나 유아를 동반한 가족들을 위한 시설이나 서비스가 제공되는지 알려줘.,6,"['어린이', '유아', '동반', '가족', '위하', '시설', '서비스', '제공', '알리', '주']","['O', 'PS', 'O', 'CV', 'O', 'O', 'O', 'O', 'PS', 'PS']",메뉴추천
매장 이용시 주의사항이 있나요?,6,"['매장', '이용', '주의', '사항', '있']","['O', 'PS', 'O', 'QT', 'O']",매장정보
